path,type,details,usage
"2_Sources/2.1_Python/main_agent.py","py","Defines the FastAPI app, CORS middleware, and includes the API router under /api.​:codex-file-citation[codex-file-citation]{line_range_start=1 line_range_end=16 path=2_Sources/2.1_Python/main_agent.py git_url="https://github.com/bdelnoz/NoXoZ_job/blob/main/2_Sources/2.1_Python/main_agent.py#L1-L16"}​","Run with uvicorn as main_agent:app (used in start_fastapi.sh/test_fastapi.sh).​:codex-file-citation[codex-file-citation]{line_range_start=17 line_range_end=91 path=8_Scripts/8.1_Init/service.fastapi/start_fastapi.sh git_url="https://github.com/bdelnoz/NoXoZ_job/blob/main/8_Scripts/8.1_Init/service.fastapi/start_fastapi.sh#L17-L91"}​​:codex-file-citation[codex-file-citation]{line_range_start=165 line_range_end=169 path=8_Scripts/8.1_Init/test_fastapi.sh git_url="https://github.com/bdelnoz/NoXoZ_job/blob/main/8_Scripts/8.1_Init/test_fastapi.sh#L165-L169"}​"
"2_Sources/2.1_Python/api/router.py","py","Registers generate/status/upload/status_web/monitor routers on the APIRouter.​:codex-file-citation[codex-file-citation]{line_range_start=1 line_range_end=10 path=2_Sources/2.1_Python/api/router.py git_url="https://github.com/bdelnoz/NoXoZ_job/blob/main/2_Sources/2.1_Python/api/router.py#L1-L10"}​","Imported by main_agent.py and included under /api.​:codex-file-citation[codex-file-citation]{line_range_start=1 line_range_end=16 path=2_Sources/2.1_Python/main_agent.py git_url="https://github.com/bdelnoz/NoXoZ_job/blob/main/2_Sources/2.1_Python/main_agent.py#L1-L16"}​"
"2_Sources/2.1_Python/api/dependencies.py","py","Placeholder for FastAPI dependencies.​:codex-file-citation[codex-file-citation]{line_range_start=1 line_range_end=null path=2_Sources/2.1_Python/api/dependencies.py git_url="https://github.com/bdelnoz/NoXoZ_job/blob/main/2_Sources/2.1_Python/api/dependencies.py#L1-Lnull"}​","Not used yet (placeholder comment).​:codex-file-citation[codex-file-citation]{line_range_start=1 line_range_end=null path=2_Sources/2.1_Python/api/dependencies.py git_url="https://github.com/bdelnoz/NoXoZ_job/blob/main/2_Sources/2.1_Python/api/dependencies.py#L1-Lnull"}​"
"2_Sources/2.1_Python/api/__init__.py","py","Empty package initializer (blank content).​:codex-file-citation[codex-file-citation]{line_range_start=1 line_range_end=null path=2_Sources/2.1_Python/api/__init__.py git_url="https://github.com/bdelnoz/NoXoZ_job/blob/main/2_Sources/2.1_Python/api/__init__.py#L1-Lnull"}​","Marks api as a Python package (no runtime logic).​:codex-file-citation[codex-file-citation]{line_range_start=1 line_range_end=null path=2_Sources/2.1_Python/api/__init__.py git_url="https://github.com/bdelnoz/NoXoZ_job/blob/main/2_Sources/2.1_Python/api/__init__.py#L1-Lnull"}​"
"2_Sources/2.1_Python/api/endpoints/status.py","py","/status returns SQLite doc count; /health returns endpoint status.​:codex-file-citation[codex-file-citation]{line_range_start=1 line_range_end=27 path=2_Sources/2.1_Python/api/endpoints/status.py git_url="https://github.com/bdelnoz/NoXoZ_job/blob/main/2_Sources/2.1_Python/api/endpoints/status.py#L1-L27"}​","Mounted in API router under /status.​:codex-file-citation[codex-file-citation]{line_range_start=1 line_range_end=10 path=2_Sources/2.1_Python/api/router.py git_url="https://github.com/bdelnoz/NoXoZ_job/blob/main/2_Sources/2.1_Python/api/router.py#L1-L10"}​"
"2_Sources/2.1_Python/api/endpoints/fastapi_full_monitor.py","py","Standalone FastAPI app with /monitor/full health check using Chroma, SQLite, logs, and Ollama checks.​:codex-file-citation[codex-file-citation]{line_range_start=1 line_range_end=108 path=2_Sources/2.1_Python/api/endpoints/fastapi_full_monitor.py git_url="https://github.com/bdelnoz/NoXoZ_job/blob/main/2_Sources/2.1_Python/api/endpoints/fastapi_full_monitor.py#L1-L108"}​","Run as a separate FastAPI app exposing /monitor/full.​:codex-file-citation[codex-file-citation]{line_range_start=17 line_range_end=108 path=2_Sources/2.1_Python/api/endpoints/fastapi_full_monitor.py git_url="https://github.com/bdelnoz/NoXoZ_job/blob/main/2_Sources/2.1_Python/api/endpoints/fastapi_full_monitor.py#L17-L108"}​"
"2_Sources/2.1_Python/api/endpoints/upload.py","py","/upload ingests a file via parse_and_store_file; includes /health endpoint.​:codex-file-citation[codex-file-citation]{line_range_start=1 line_range_end=17 path=2_Sources/2.1_Python/api/endpoints/upload.py git_url="https://github.com/bdelnoz/NoXoZ_job/blob/main/2_Sources/2.1_Python/api/endpoints/upload.py#L1-L17"}​","Mounted in API router under /upload.​:codex-file-citation[codex-file-citation]{line_range_start=1 line_range_end=10 path=2_Sources/2.1_Python/api/router.py git_url="https://github.com/bdelnoz/NoXoZ_job/blob/main/2_Sources/2.1_Python/api/router.py#L1-L10"}​"
"2_Sources/2.1_Python/api/endpoints/status.ORI.py","py","Legacy copy of status endpoint (same logic as status.py).​:codex-file-citation[codex-file-citation]{line_range_start=1 line_range_end=27 path=2_Sources/2.1_Python/api/endpoints/status.ORI.py git_url="https://github.com/bdelnoz/NoXoZ_job/blob/main/2_Sources/2.1_Python/api/endpoints/status.ORI.py#L1-L27"}​","Not referenced by router (router imports status.py only).​:codex-file-citation[codex-file-citation]{line_range_start=1 line_range_end=10 path=2_Sources/2.1_Python/api/router.py git_url="https://github.com/bdelnoz/NoXoZ_job/blob/main/2_Sources/2.1_Python/api/router.py#L1-L10"}​"
"2_Sources/2.1_Python/api/endpoints/status_web.py","py","HTML status page that checks health endpoints and lists Python files; includes read_file and /health endpoints.​:codex-file-citation[codex-file-citation]{line_range_start=1 line_range_end=104 path=2_Sources/2.1_Python/api/endpoints/status_web.py git_url="https://github.com/bdelnoz/NoXoZ_job/blob/main/2_Sources/2.1_Python/api/endpoints/status_web.py#L1-L104"}​","Mounted in API router under /monitor (Monitor tag).​:codex-file-citation[codex-file-citation]{line_range_start=1 line_range_end=10 path=2_Sources/2.1_Python/api/router.py git_url="https://github.com/bdelnoz/NoXoZ_job/blob/main/2_Sources/2.1_Python/api/router.py#L1-L10"}​"
"2_Sources/2.1_Python/api/endpoints/generate.py","py","/generate endpoint calls generate_document and exposes /health.​:codex-file-citation[codex-file-citation]{line_range_start=1 line_range_end=16 path=2_Sources/2.1_Python/api/endpoints/generate.py git_url="https://github.com/bdelnoz/NoXoZ_job/blob/main/2_Sources/2.1_Python/api/endpoints/generate.py#L1-L16"}​","Mounted in API router under /generate.​:codex-file-citation[codex-file-citation]{line_range_start=1 line_range_end=10 path=2_Sources/2.1_Python/api/router.py git_url="https://github.com/bdelnoz/NoXoZ_job/blob/main/2_Sources/2.1_Python/api/router.py#L1-L10"}​"
