ID,Component,Technology,Location,Description,Notes
C-001,FastAPI app,FastAPI,2_Sources/2.1_Python/main_agent.py,Application entrypoint with CORS and API router,/api prefix
C-002,API router,FastAPI,2_Sources/2.1_Python/api/router.py,Mounts API endpoint routers,Monitor health path duplicated
C-003,Generate endpoint,FastAPI,2_Sources/2.1_Python/api/endpoints/generate.py,POST endpoint to generate documents,Calls services.generation
C-004,Upload endpoint,FastAPI,2_Sources/2.1_Python/api/endpoints/upload.py,POST endpoint to upload and ingest files,Calls services.ingestion
C-005,Status endpoint,FastAPI,2_Sources/2.1_Python/api/endpoints/status.py,GET endpoint to show DB status,Reads SQLite metadata
C-006,Monitor endpoint,FastAPI,2_Sources/2.1_Python/api/monitor.py,Monitoring endpoints for API/Chroma/SQLite/Ollama,Also defined in status_web.py
C-007,Vector store,ChromaDB + SQLite,2_Sources/2.1_Python/services/vector_store.py,Ingestion/search with embeddings,Persistent data in 3_Data
C-008,Ingestion service,Python,2_Sources/2.1_Python/services/ingestion.py,Uploads and stores files then ingests,Creates uploads folder
C-009,Generation service,Ollama + python-docx,2_Sources/2.1_Python/services/generation.py,Calls Ollama and writes DOCX output,Stores in 5_Outputs/DOCX
C-010,Chroma integration script,Python,2_Sources/2.1_Python/chroma_integration.py,Standalone script for Chroma operations,Not wired to API
C-011,Docker Compose,Docker Compose,docker-compose.yml,Defines Ollama and Chroma containers,No FastAPI service
C-012,Environment config,Dotenv,.env,Local path configuration,Contains local absolute paths
C-013,Certificates,OpenSSL certs,certs/,TLS cert and key files,Sensitive material in repo
